Job Type,Job_Title,Description
Data engineer,Data Engineer,"Responsibilities
Build, maintain the data pipelines to facilitate end to end data flow (import & export) from source systems to data warehouse, reports, models and downstream applications.
Keep data warehouse models in sync with data source changes
Build and maintain connections to 3rd party SaaS applications in our data space (Salesforce, Braze, Amplitude, SendGrid etc)
Actively look for opportunities to improve (performance, access, automations etc.) existing data setup by keeping abreast of changes to adopted technology stack or new technology
Perform data validation and impact analysis to assure data integrity, accuracy and consistency. Identify the root cause of data inconsistencies, process defects and implement timely corrective actions.
Take care of deployments, code repository maintenance and necessary automation of CICD processes.
Collaborate with internal teams (Source, Marketing, Growth, Finance etc.) for their data needs.
Requirements
4 to 6 years of experience with SQL, Python and Batch scripting. Comfortable in handling large volumes of data.
Experienced with building and maintaining data pipelines, data marts (preferably using dbt tool) and code repository
Experienced in data profiling, data analysis, data validation, impact analysis, performance tuning and tasks automation.
Experience working on web API (for data ingestion, export)
Experienced with maintaining data warehouse in sync with source, keeping it operational.
Experienced with Cloud, ideally AWS (S3, Step Functions, Lambda, DMS)
Experience/understanding of working in agile methodology in software development.
Good to have.
Experienced with Snowflake, BigQuery, Redshift or Teradata data warehouse
Experienced with building and maintaining reports using data visualization tools like Tableau, Microsoft Power BI, QlikView, etc.
Experienced/understanding of Data science life cycle, MLOps, collaborating with Data Scientists on ML initiatives
Personal/Soft Skills:
Strong sense of ownership and accountability, with good attention to detail.
High resilience and strong verbal, written communication skills.
Self-motivated, willing to learn and adapt quickly to deliver the end results.
Passionate about data and strong analytical thinking, problem solving skills."
Data engineer,Data Engineer,"What to Expect
Tesla Electronics Test and Automation Group (ETAG) is the main point of contact to ensure the highest quality vehicle, silicon and robotics electronics for our customers. Our mission is to develop test automation equipment, architect software automation framework, and provide hardware/software/data infrastructure for Tesla electronics communities worldwide.

We are seeking a highly motivated and experienced data engineer who would be responsible for deriving analytical insights from data to optimize production yield. This role will work in cross-functional environment driving data-driven decision-making- builds metrics, owns the data pipelines and reporting for capacity expansion at scale.

The ideal candidate will be a hands-on problem solver with excellent analytical and organizational skills, who thrives in an environment that encourages and rewards superior work. You should be passionate about innovation and developing new skills, and excited to take on the challenge of contributing to the next generation of engineering tools and systems.
What YouÃ¢â‚¬â„¢ll Do
Analyze manufacturing, equipment and vehicle data and extract useful statistics and insights about failures in order to drive meaningful improvements to production quality and customer experience.
Work effectively with engineers and conducting end-to-end analyses, from data requirement gathering, to data processing and modeling
Interpret data, analyze results using statistical techniques and provide ongoing reports
Acquire data from primary or secondary data sources and maintain databases/data systems to empower operational and exploratory analysis
Maintaining existing and develop new data visualizations, data pipelines and dashboard enhancement requests
Automating analyses and authoring pipelines using SQL, Python, Airflow, Kubernetes based ETL framework
Perform data quality validations to ensure data creation is as per the business needs and expectations
What YouÃ¢â‚¬â„¢ll Bring
Strong knowledge of Python, SQL and experience with multiple data architecture paradigms (MySQL, kafka, Spark)
Strong knowledge of data visualization techniques and tools using Tableau, Power BI, Matplotlib, Plotly etc.
Strong knowledge of data warehousing concepts, data mining tools and techniques
Able to work under pressure while collaborating and managing competing demands with tight deadlines
Understanding of various statistical techniques preferred
Knowledge of manufacturing and service operations preferred
Familiar with Docker, Kubernetes and basic knowledge of DevOps concepts and storage solutions
Experience with creating automatic data pipelines, scheduling tools (cronjobs, Airflow, Kubeflow etc.)"
Data engineer,Production Support Engineer - Data Engineering,"Bonhill Partners Singapore
Posted 5 days ago Hybrid Permanent S$110k - S$130k
Posted by
Jonny Langston
Director/Co-Founder - Recruiter
Follow
Bonhill Partners are excited to be assisting a market leading hedge fund in their search for a Production Support Engineer within their Data Engineering team in Singapore.
The role requires exceptional technical ability in supporting complex data engineering applications, with a strong knowledge and experience of SQL.

Requirements:
5+ years in a production support engineer role or similar
Strong experience with SQL
Experience within Reference Data
Data Pipeline creation
AWS
Financial Service experience
This role will be based in the Singapore office on a hybrid basis and can offer a generous package, along with excellent salary and total compensation.
Job ID JCL089"
Data engineer,Data Engineer,"Beyond Limits is a pioneering Artificial Intelligence engineering company creating advanced software solutions that go beyond conventional AI. Founded in 2014 with a legacy in space exploration, Beyond Limits is transforming proven technologies from Caltech and NASA's Jet Propulsion Laboratory into advanced AI solutions, hardened to industrial strength, and put to work for forward-looking companies on earth. We leverage this unparalleled innovation portfolio, along with proprietary cognitive technologies, to help companies solve tough, complex, mission-critical problems and transform their business. We apply a unique hybrid approach to AI, combining numeric AI techniques like machine learning with higher-order symbolic AI and expert human knowledge to deliver intuitive cognitive reasoning and information. Our cognitive computing technology mimics human thought processes and provides explainable reasoning to aid human-like decision-making.
Job Duties/Responsibilities:
Represent renowned Data Analytics, Data Management, Data Science AI product suite in customer accounts of all sizes and industries
Drive revenue growth from existing customers
Meet and exceed direct sales goals within the assigned territory
Manage direct and indirect sales
Manage all aspects of the sales process including lead generation, qualification, evaluation, close and account management
Develop and manage sales pipeline, prospects and assess sales potential with the ability to move a large number of transactions simultaneously through the sales pipeline
Manage and track customer and transactional information into web-based system; logging all sales activity within the established processes; keeping customer account current and accurate
Coordinate resources throughout the sales cycle, including product support and sales engineering
Provide product demonstration to prospects
Work effectively within a team environment to maximize revenue potential and ensure customer success
May require minimum traveling to local customer site


Minimum Qualifications:
Bachelor's degree in Business, Finance, Marketing or a related field.
Minimum of 2 years of relevant experience.
Proficiency in Data Visualization, Social Media, LinkedIn, Microsoft Office.
Fluency in English.
Direct and transactional sales experience.
Beyond Limits provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Beyond Limits complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.

Beyond Limits expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Beyond Limit's employees to perform their job duties may result in discipline up-to and including discharge."
Data engineer,Data Engineer,"Trusted carbon credits. Real impact.
Climate Impact X (CIX) is a Singapore-based global carbon exchange and marketplace that aims to scale the voluntary carbon market; through a joint venture by DBS, SGX, Standard Chartered and Temasek.
CIX offers distinct platforms and products that cater to the needs of different carbon credit buyers and sellers. The Exchange facilitates the sale of large-scale high-quality carbon credits through standardised contracts Ã¢â‚¬â€œ catering primarily to MNCs and institutional investors. The Project Marketplace and Auction offer a curated selection of NCS projects that can meet corporate sustainability objectives. Each project on the Project Marketplace and Auction is supported by transparent impact, risk and pricing data.
We are looking for dynamic, highly-motivated and passionate individuals willing to work and learn in a fast-paced environment to be part of this exciting journey to deliver tangible and lasting impact.
For more information, please visit www.climateimpactx.com
Cloud Engineer
CIX is looking for an experienced Data Engineer to architect, expand and manage our cloud data infrastructure based on Microsoft Azure. The Data Engineer should bring substantial experience of best practice for cloud based data solutions. Working with in and out of house development teams the Data Engineer will be responsible for being the CIX data SME for all initiatives as well as ensuring SLAs are continually met.
Key responsibilities:
Understand business processes, applications and how data is created, stored and gathered in CIX
Use big data tools and platforms to create and maintain data pipelines, making sure pipelines are robust, scalable, and reliable. Troubleshoot and rectify issues with data pipelines as necessary.
Maintain and expand CIXs existing data architecture, utilising different tools for data gathering (API, web scraping, upload capabilities), enrichment from other sources and loading in a structured form
Support CIXs data business to ensure commercial alignment with capabilities
Support proof-of-concept type work, prototypes on new data integrations and onboarding of new systems
Key Requirements:
More than 5 years' hands on experience with data engineering
Experience with data engineering and associated tools in a cloud environment, ideally Microsoft Azure
Extensive experience working with Snowflake and Airflow
Significant SQL experience alongside some NoSQL exposure
Experience in ETL pipeline design, implementation and maintenance
Strong communication skills, including with non-technical business stakeholders
Ideally experience in data engineering within the financial services/FinTech space
CIX is an equal opportunity employer committed to diversity and inclusion.
We seek your understanding that only shortlisted candidates will be contacted."
Data engineer,Data Core Engineer (Python),"Professional Development Opportunity
Permanent position with attractive compensation package
About Our Client
Our client, a well-known Hedge Fund, which operating across the world is looking to hire a Data Core Engineer based in Singapore office. They are a data driven group focusing on a scientific approach in investment with combination of data and technology.
Job Description
As a Data Engineer, your responsibilities are below:
Manage the extensive dataset used in the trading platform
Contributing to design and implementing for the data store and APIs
Monitoring data health and make sure the process is streamlined
Perform processing of structured and unstructured data
The Successful Applicant
As a qualified candidate, you shall possess Min. BA in Computer Science or other relevant field with Min. 2 years of experience in data engineering. You shall also be experienced in Python and one database language. Knowledge in Financial data will be an added advantage.
What's on Offer
Good core technology career development
Exposure in Hedge-fund data platform"
Data engineer,Junior Data Engineer,"Key Responsibilities:
Spearhead the development of systems, architectures, and platforms that can scale to the 3 Vs of Big data (Volume, Velocity, Variety);
Build out scalable and reliable ETL pipelines and processes to ingest data from a large number and variety of data sources;
Maintain and optimize the performance of our data analytics infrastructure to ensure accurate, reliable and timely delivery of key insights for decision making;
Lead the movement cleaning and normalizing subsets of data of interest as preparatory step before deeper analysis by the data scientists;
Run Modern high performance analytical databases and computation engines;
Design and implement various data health checks to ensure the data quality and consistency across systems;
Design and implement data extraction solution in a distributed system.
Skills required:
Minimum 3-5 years experience with Data Engineering, covering data pipelines from end-to-end;
Experience in handling large data sets and working with structured, unstructured and geographical datasets;
Deep understanding of databases and best engineering practices - include handling and logging errors, monitoring the system, building human-fault-tolerant pipelines, understanding how to scale up, addressing continuous integration, knowledge of database administration, maintaining data cleaning and ensuring a deterministic pipeline;
Experience with apache Airflow, Apache Kafka, DevOps and AWS will be an advantage;
Real passion for data, new data technologies, and discovering new and interesting solutions to the companyÃ¢â‚¬â„¢s data needs;
Excellent communication skills to communicate with the product development engineers to coordinate development of data pipelines, and or any new products features that can be built on top of the results of data analysis."
Data engineer,Junior Data Engineer,"Professional Career in Fintech & Payment Platform
Pioneering their start-up operation in Singapore
About Our Client



Our client, a rapidly growing start-up that operating in fintech and banking is looking to expand their data team. They are driven by a vision of enabling people, fintech and banks to unlock their collective potential with cutting edge technology.
Job Description
As a Junior Data Engineer, your responsibilities are:
Build and maintenance of a scalable end to end data pipeline architecture
Implement methods to improve data reliability and quality.
Focus on an efficient approach to design, allowing for agile and robust development to meet ever-changing business needs
Assist in database performance tuning and data life-cycle management
The Successful Applicant
As a qualified candidate, you shall possess Min. BA in Computer Science or other relevant field with Min. 2 years of experience in data engineering. You shall also be experienced in Python and one database language.
What's on Offer
Excellent data engineering career development
Exposure in Fin-tech data platform"
Data engineer,Data Engineer,"Location: Singapore
Key Responsibilities
Develop and design the method for data acquisition, ingestion and processing from multiple industrial systems
Define the system infrastructure required for an efficient and robust data storage
Design big data platform for industrial applications
Modelling of data from production systems for abnormal detection and predictive capability
Understand and create data landscape for typical industrial data with focus in Electronic, Automotive and F&B industry
Requirements
Big data technology e.g. Cassandra, Hadoop & MongoDB
Exposure to IaaS platform example Azure, Google and AWS
Knowledge in Python, Java programming
Experience in data cleaning, transforming and ingestion of large datasets
Good understanding of software development life cycle will be important from defining user requirements to testing and deployment"
Data engineer,Data Engineer,"COMPANY DESCRIPTION
Beyondsoft International (Singapore) Pte. Ltd. was set up in 2007 and established as the regional headquarters for the Southeast Asia (SEA) and European markets in September 2015. Based on our vision of ""Using technology to promote social progress, economic development and become a global customer preferred partner"" and our concept of ""Beyond your expectations"", Beyondsoft is committed to provide our customers in countries along the ""Belt and Road"" with comprehensive solutions and products and creating commercial value for customers to realizing continuous businesses development.
Our core business includes:
IT development servicesProviding customers with IT consulting, software research and development, software and hardware testing, system integration and operation and maintenance, data analysis and other services;
New retail solutions and productsThrough intelligent products, helping small and medium-sized enterprises (SMEs) realize the digital transformation of their daily operations;
Internet of Things (IoT) platform and solutionsComprehensive use of IoT, artificial intelligence, big data, cloud computing and other technologies to provide IoT solutions for intelligent upgrades in cities, parks, buildings and industries, to create a smart future.
For more information, please visit www.beyondsoft.com.

DESIGNATION : Data Engineer - CM

RESPONSIBILITIES
Collaborate with cross-functional teams, including software developers, data scientists, and business analysts, to understand data requirements and design optimal data solutions.
Design, build, and maintain scalable and high-performance data pipelines for extracting, transforming, and loading (ETL) data from various sources to data warehouses or databases.
Develop and manage data integration processes, ensuring data accuracy, consistency, and reliability.
Implement and maintain efficient data models and schemas in collaboration with database administrators and data architects.
Optimize database performance by tuning SQL queries, indexing strategies, and other database-related parameters.
Monitor and troubleshoot data pipelines, processes, and software deployments to identify and resolve issues in a timely manner.
Utilize Linux skills to manage and maintain overall systems and data infrastructure, including setting up servers, configuring services, and managing security settings.
Collaborate with DevOps teams to ensure smooth deployment and operation of data solutions in a cloud or on-premises environment.
Work closely with software developers to assist in software deployment, configuration, and troubleshooting tasks.
Create and maintain documentation for data engineering processes, data flows, infrastructure setup, and troubleshooting procedures.


QUALIFICATIONS
BachelorÃ¢â‚¬â„¢s degree in information or computer science, or a related field.
At least 3 years in Data Engineer, developing and maintaining data pipelines, integration solutions, and contributing to software deployment and troubleshooting.
Strong in SQL, T-SQL, ETL processes, data modeling concepts and metadata-driven ingestion frameworks.
Familiarity with data integration tools like Airflow, SQL Server Integration Services, AWS Glue, Azure Data Factory, or Informatica.
Solid understanding of database management systems, hands-on experience with systems like PostgreSQL, MySQL, Microsoft SQL Server.
Proficient in at least one data manipulation language: Python, Java, or Scala.
Knowledge of data warehouse design, including star-schema, snowflake-schema, and columnar storage.
Experience with data warehousing technologies like Amazon Redshift, Google BigQuery, Azure Synapse, or Snowflake.
Familiarity with Linux operating systems, experience in managing Linux-based infrastructure, version control systems (e.g., Git), and CI/CD pipelines"
