left_context,candidate_skill,right_context,concatenated,label
answer specific,business questions identifying,calling data,answer specific | business questions identifying | calling data,
docker nginx,sql,nosql databases,docker nginx | sql | nosql databases,
etl software informatica oracle pl,sql scripting,sql scripting unix scripting,etl software informatica oracle pl | sql scripting | sql scripting unix scripting,
cv,standard chartered we re,international,cv | standard chartered we re | international,
data science,coe leverage huge,volumes structured,data science | coe leverage huge | volumes structured,
natural language processing,nlp large language models,llms artificial intelligence,natural language processing | nlp large language models | llms artificial intelligence,
python html css,javascript jquery etc,good interpersonal skills,python html css | javascript jquery etc | good interpersonal skills,
de produits et services,dans les m,tiers de la banque,de produits et services | dans les m | tiers de la banque,
handle,technical business questions,strong,handle | technical business questions | strong,
understand like,work agile software,product team,understand like | work agile software | product team,
team,barclays office trading,creates,team | barclays office trading | creates,
need,handle information massive scale,extend,need | handle information massive scale | extend,
ml engineers,responsible work planning project,management,ml engineers | responsible work planning project | management,
requirement analysis data mapping etl,mapping,data documentation data validation,requirement analysis data mapping etl | mapping | data documentation data validation,
working closely divisions,needs leverage data,strategy formulation policy,working closely divisions | needs leverage data | strategy formulation policy,
models understand,business,processes create,models understand | business | processes create,
experience language models encoders,transformers,attention generative models gans,experience language models encoders | transformers | attention generative models gans,
brightest engineering,sales account,management operations,brightest engineering | sales account | management operations,
experience,kubernetes,containers,experience | kubernetes | containers,
good communication interpersonal skills,proficient english language,proven ability work independently,good communication interpersonal skills | proficient english language | proven ability work independently,
business product,teams understand business,requirements formulate,business product | teams understand business | requirements formulate,
mas,data analytics,engineering,mas | data analytics | engineering,
pv technology production,manufacturing quality assessment,systems deployment,pv technology production | manufacturing quality assessment | systems deployment,
promote implementation optimization,scheme bring,actual improvement growth,promote implementation optimization | scheme bring | actual improvement growth,
ideally past current practitioner,agile software development,including experience relevant areas,ideally past current practitioner | agile software development | including experience relevant areas,
future we,re looking people digital,5g,future we | re looking people digital | 5g,
business challenges designing,innovative algorithms,implementing deploying scalable,business challenges designing | innovative algorithms | implementing deploying scalable,
outside team drive,effective application,data science domains,outside team drive | effective application | data science domains,
intern,apac regional analytics bi,supports teams analytics functions,intern | apac regional analytics bi | supports teams analytics functions,
response changing external data,landscape integrating,modern data management solutions,response changing external data | landscape integrating | modern data management solutions,
experience storage networking brocade mds,os administration redhat preferred,experience data protection deployment disaster,experience storage networking brocade mds | os administration redhat preferred | experience data protection deployment disaster,
optimal long term storage queries,reporting visualization building,apis ml models data sharing,optimal long term storage queries | reporting visualization building | apis ml models data sharing,
purpose,addressing business s,growing,purpose | addressing business s | growing,
possess knowledge experience,economics,mathematics statistics data,possess knowledge experience | economics | mathematics statistics data,
reviewed expertly,compiles fast tests comprehensively,distributed widely,reviewed expertly | compiles fast tests comprehensively | distributed widely,
iot infrastructure experience python golang,experience javascript,react redux motional driverless technology,iot infrastructure experience python golang | experience javascript | react redux motional driverless technology,
develop date site,electrical procedures,including eops sops mops,develop date site | electrical procedures | including eops sops mops,
disciplined,entrepreneurship serving,clients,disciplined | entrepreneurship serving | clients,
trends applied,knowledge measurement statistics,program evaluation,trends applied | knowledge measurement statistics | program evaluation,
maintain,inventory levels procurement,flows,maintain | inventory levels procurement | flows,
create wireframes prospective,dashboard,visualize output client,create wireframes prospective | dashboard | visualize output client,
sdlc projects,ensuring integrity quality product,releases,sdlc projects | ensuring integrity quality product | releases,
progress fronts 1,key digital,product transformation projects,progress fronts 1 | key digital | product transformation projects,
experience,business processing mapping data,analytics solutions,experience | business processing mapping data | analytics solutions,
designing deploying,large scale,applications hybrid cloud,designing deploying | large scale | applications hybrid cloud,
clear stories create ad hoc,reports deep dive business,opportunities discovering valuable audiences segments,clear stories create ad hoc | reports deep dive business | opportunities discovering valuable audiences segments,
including data ingestion,machine learning model application,code deployment able,including data ingestion | machine learning model application | code deployment able,
profiling data visualization,experience agile waterfall framework,work closely engineering,profiling data visualization | experience agile waterfall framework | work closely engineering,
analytical,project management abilities eye,detail,analytical | project management abilities eye | detail,
maturity enable candidate,credible counterpart business managers,senior management ability,maturity enable candidate | credible counterpart business managers | senior management ability,
person role,shall participate hardware software,configuration programming installation testing,person role | shall participate hardware software | configuration programming installation testing,
bonding activities unlimited,training subsidies bonus,attractive monthly performance,bonding activities unlimited | training subsidies bonus | attractive monthly performance,
engineering business,analytics equivalent,minimum 5,engineering business | analytics equivalent | minimum 5,
