left_context,candidate_skill,right_context,concatenated,label
answer specific,business questions identifying,calling data,answer specific | business questions identifying | calling data,0
docker nginx,sql,nosql databases,docker nginx | sql | nosql databases,1
etl software informatica oracle pl,sql scripting,sql scripting unix scripting,etl software informatica oracle pl | sql scripting | sql scripting unix scripting,1
cv,standard chartered we re,international,cv | standard chartered we re | international,0
data science,coe leverage huge,volumes structured,data science | coe leverage huge | volumes structured,0
natural language processing,nlp large language models,llms artificial intelligence,natural language processing | nlp large language models | llms artificial intelligence,1
python html css,javascript jquery etc,good interpersonal skills,python html css | javascript jquery etc | good interpersonal skills,0
de produits et services,dans les m,tiers de la banque,de produits et services | dans les m | tiers de la banque,0
handle,technical business questions,strong,handle | technical business questions | strong,0
understand like,work agile software,product team,understand like | work agile software | product team,1
team,barclays office trading,creates,team | barclays office trading | creates,0
need,handle information massive scale,extend,need | handle information massive scale | extend,0
ml engineers,responsible work planning project,management,ml engineers | responsible work planning project | management,0
requirement analysis data mapping etl,mapping,data documentation data validation,requirement analysis data mapping etl | mapping | data documentation data validation,0
working closely divisions,needs leverage data,strategy formulation policy,working closely divisions | needs leverage data | strategy formulation policy,0
models understand,business,processes create,models understand | business | processes create,0
experience language models encoders,transformers,attention generative models gans,experience language models encoders | transformers | attention generative models gans,1
brightest engineering,sales account,management operations,brightest engineering | sales account | management operations,0
experience,kubernetes,containers,experience | kubernetes | containers,1
good communication interpersonal skills,proficient english language,proven ability work independently,good communication interpersonal skills | proficient english language | proven ability work independently,0
business product,teams understand business,requirements formulate,business product | teams understand business | requirements formulate,0
mas,data analytics,engineering,mas | data analytics | engineering,1
pv technology production,manufacturing quality assessment,systems deployment,pv technology production | manufacturing quality assessment | systems deployment,0
promote implementation optimization,scheme bring,actual improvement growth,promote implementation optimization | scheme bring | actual improvement growth,0
ideally past current practitioner,agile software development,including experience relevant areas,ideally past current practitioner | agile software development | including experience relevant areas,1
future we,re looking people digital,5g,future we | re looking people digital | 5g,0
business challenges designing,innovative algorithms,implementing deploying scalable,business challenges designing | innovative algorithms | implementing deploying scalable,1
outside team drive,effective application,data science domains,outside team drive | effective application | data science domains,0
intern,apac regional analytics bi,supports teams analytics functions,intern | apac regional analytics bi | supports teams analytics functions,0
response changing external data,landscape integrating,modern data management solutions,response changing external data | landscape integrating | modern data management solutions,0
experience storage networking brocade mds,os administration redhat preferred,experience data protection deployment disaster,experience storage networking brocade mds | os administration redhat preferred | experience data protection deployment disaster,0
optimal long term storage queries,reporting visualization building,apis ml models data sharing,optimal long term storage queries | reporting visualization building | apis ml models data sharing,0
purpose,addressing business s,growing,purpose | addressing business s | growing,0
possess knowledge experience,economics,mathematics statistics data,possess knowledge experience | economics | mathematics statistics data,1
reviewed expertly,compiles fast tests comprehensively,distributed widely,reviewed expertly | compiles fast tests comprehensively | distributed widely,0
